ELR_DataElement,CSVColumnName,Irrelevant,Format,ListOfValues,IsRequired,RegEX,Pattern,ScratchPad,,,
sendingFacility,,,,,,,,,,,
sfIdentifier,,,,,,,,,,,SENDING_LAB_ADDRESS
sfIdentifierCodeSystem,,,,,,,,,,,PATIENT_SUFFIX
sendingApplication,,,,,,,,,,,COUNTRY_OF_RESIDENCE
saIdentifier,,,,,,,,,,,PATIENT_EMAIL
saIdentifierCodeSystem,,,,,,,,,,,SPECIMEN_SNOMED_CODE
patientLastName,PAT_LAST_NAME,,,,YES,,,,,,TEST_LOINC_CODE
patientMiddleName,PAT_MIDDLE_NAME,,,,,,,,,,PATIENT_AGE_UNITS
patientFirstName,PAT_FIRST_NAME,,,,YES,,,,,,SENDING_LAB_NAME
patientGender,PATIENT_GENDER,,,,,,,,,,SENDING_LAB_CLIA
patientId,PATIENT_ID,,,,,,,,,,SENDING_LAB_CONTACT
patientDOB,PATIENT_BIRTH_DATE,,,,,,,,,,
patientRace,PATIENT_RACE,,,,,,,,,,
patientEthnicity,PATIENT_ETHNICITY,,,,,,,,,,
patientTelephoneNumber,PATIENT_PHONE,,,,,,,,,,
patientAddressLine1,PATIENT_STREET_ADDRESS,,,,,,,,,,
patientAddressLine2,,,,,,,,,,,
patientAddressCounty,PATIENT_COUNTY,,,,,,,,,,
patientAddressCity,PATIENT_CITY,,,,,,,,,,
patientAddressState,PATIENT_STATE,,,,,,,,,,
patientAddressZip,PATIENT_ZIP,,,,,,,,,,
placerOrder,ACCESSION_NUMBER,,,,,,,,,,
fillerOrder,,,,,,,,,,,
resultedTest,TEST_NAME,,,,,,,,,,
resultedTest_LOINC,RESULT_LOINC_CODE,,,,,^\d+-\d$,,,,,
observation,RESULT_DESCR_VALUE,,,"DETECTED
;NOT DETECTED
;NotDetected
;POSITIVE
;NEGATIVE
;INCONCLUSIVE",,,,,,,
Notes,DEVICE_IDENTIFIER,,,,,,,,,,
orderingFacility,ORDERING_FACILITY_NAME,,,,,,,,,,
orderingFacility_Address,ORDERING_FACILITY_ADDRESS,,,,,,,,,,
orderingFacility_Address_Ln2,,,,,,,,,,,
orderingFacility_City,ORDERING_FACILITY_CITY,,,,,,,,,,
orderingFacility_State,ORDERING_FACILITY_STATE,,,,,,,,,,
orderingFacility_Zip,ORDERING_FACILITY_ZIP_CODE,,,,,,,,,,
orderingFacility_CallBackNumber,ORDERING_FACILITY_PHONE_NUMBER,,,,,,,,,,
specimenType,SPECIMEN_SOURCE,,,,,,,,,,
specimenCollectionDate,SPECIMEN_COLLECTION_DATE,,,,,,,,,,
specimenReceivedDate,,,,,,,,,,,
labResultDate,TEST_RESULT_DATE,,,,,,,,,,
providerFirstName,ORD_PROVIDER_FIRST_NAME,,,,,,,,,,
providerLastName,ORD_PROVIDER_LAST_NAME,,,,,,,,,,
providerNPI,,,,,,,,,,,
ProviderName,,,,,,,,,,,
ProviderAddress,ORD_PROVIDER_STREET_ADDRESS,,,,,,,,,,
ProviderAddress_Ln2,,,,,,,,,,,
Provider_City,ORD_PROVIDER_CITY,,,,,,,,,,
Provider_State,ORD_PROVIDER_STATE,,,,,,,,,,
Provider_Zip,ORD_PROVIDER_ZIP,,,,,,,,,,
Provider_CallBackNumber,ORD_PROVIDER_PHONE,,,,,,,,,,
performingFacility,TESTING_LAB_NAME,,,,,,,,,,
performingFacilityCLIA,TESTING_LAB_CLIA,,,,,,,,,,
performingFacilityAddress,TESTING_LAB_STREET_ADDRESS,,,,,,,,,,
performingFacilityAddress_Ln2,,,,,,,,,,,
performingFacility_City,TESTING_LAB_CITY,,,,,,,,,,
performingFacility_State,TESTING_LAB_STATE,,,,,,,,,,
performingFacility_Zip,TESTING_LAB_ZIP_CODE,,,,,,,,,,
performingFacility_CallBackNumber,TESTING_LAB_PHONE_NUMBER,,,,,,,,,,
SYMPTOMATIC,,,,,,,,,,,
onsetDate,,,,,,,,,,,
Pregnant,,,,,,,,,,,
Diabetes,,,,,,,,,,,
HeartCondition,,,,,,,,,,,
Immunocompromised,,,,,,,,,,,
KidneyDisease,,,,,,,,,,,
LiverDisease,,,,,,,,,,,
LungDisease,,,,,,,,,,,
Obese,,,,,,,,,,,
DESCRIBE_SYMPTOMS,,,,,,,,,,,
HCW,,,,,,,,,,,
FEVER,,,,,,,,,,,
COUGH,,,,,,,,,,,
SORE_THROAT,,,,,,,,,,,
SORE_THROAT_FLU,,,,,,,,,,,
RHINORRHEA,,,,,,,,,,,
SHORT_OB,,,,,,,,,,,
HEADACHE,,,,,,,,,,,
SWEATS,,,,,,,,,,,
GASTROINTESTINAL,,,,,,,,,,,
WEAKNESS,,,,,,,,,,,
isThisFirstTest,PATIENT_FIRST_TEST,,,,,,,,,,
isAHealthcareWorker,PATIENT_EMPLOYED_HEALTHCARE,,,,,,,,,,
isSymptomatic,PATIENT_SYMPTOMATIC_CDC,,,,,,,,,,
symptomOnsetDate,PATIENT_SYMPTOM_ONSET_DATE,,,,,,,,,,
isHospitalized,PATIENT_HOSPITALIZED,,,,,,,,,,
inICU,PATIENT_IN_ICU,,,,,,,,,,
isResidentOfCongregateCareSetting,PATIENT_RESIDE_CAREHOME,,,,,,,,,,
isPregnant,PATIENT_PREGNANT,,,,,,,,,,
patientAge,PATIENT_AGE_AT_COLLECTION,,,,,,,,,,
