ELR_DataElement,CSVColumnName,Format,Enforce,ListOfValues,IsRequired,RegEX,Pattern,DefaultValue,Context_Label,User Notes,ScratchPad
sendingFacility,,,,,,,,,,,
sfIdentifier,,,,,,,,,,,
sfIdentifierCodeSystem,,,,,,,,,,,
sendingApplication,,,,,,,,,,,
saIdentifier,,,,,,,,,,,
saIdentifierCodeSystem,,,,,,,,,,,
patientLastName,PATIENT LAST NAME,,,,YES,,,,,,
patientMiddleName,PATIENT MIDDLE NAME,,,,,,,,,,
patientFirstName,PATIENT FIRST NAME,,,,YES,,,,,,
patientGender,PATIENT GENDER (M/F),,,,,,,,,,
patientId,PATIENT ID,,,,,,,,,,
patientDOB,PATIENT BIRTH DATE,,,,,,,,,,
patientRace,PATIENT RACE,,,,,,,,,,
patientEthnicity,PATIENT ETHNICITY,,,,,,,,,,
patientTelephoneNumber,PATIENT PHONE NO (10-digit numeric),,,,,,,,,Default value is currently sopported only for Patient phone,
patientAddressLine1,PATIENT STREET ADDRESS,,,,,,,,,,
patientAddressLine2,,,,,,,,,,,
patientAddressCity,PATIENT CITY,,,,,,,,,,
patientAddressState,PATIENT STATE (2-letter abbreviation),,,,,,,,,,
patientAddressZip,PATIENT ZIP CODE,,,,,,,,,,
PATIENTADDRESSCOUNTY,PATIENT COUNTY,,,,,,,,,,
placerOrder,ACCESSION NUMBER ,,,,,,,,,,
fillerOrder,,,,,,,,,,,
resultedTest,TEST NAME,,,,,,,,,,
resultedTest_LOINC,TEST LOINC CODE ,,,,,^\d+-\d$,,,,,
observation,RESULT DESCRIPTION,,NO,"DETECTED
;NOT DETECTED
;Not Detected
;POSITIVE
;NEGATIVE
;INCONCLUSIVE ;Positive for 2019-nCoV; Indeterminate; INDETERMINATE…;NEG;Presumptive negative;NOT_DETECTED;NOTDETECTED;NOT-DETECTED;POS;PRESUMPTIVE POSITIVE;Analyte not detected;Specimen Unsatisfactory;Invalid;Non-Reactive;REACTIVE;Human Immunodeficiency Virus Type I;260373001;260385009;260415000;10828004",,,,,,,
Notes,PATIENT EMAIL ,,,,,,,,,,
orderingFacility,ORDERING FACILITY NAME,,,,,,,,,,
orderingFacility_Address,ORDERING FACILITY STREET ADDRESS,,,,,,,,,,
orderingFacility_Address_Ln2,,,,,,,,,,,
orderingFacility_City,ORDERING FACILITY CITY,,,,,,,,,,
orderingFacility_State,ORDERING FACILITY STATE (2-letter abbreviation),,,,,,,,,,
orderingFacility_Zip,ORDERING FACILITY ZIP CODE,,,,,,,,,,
orderingFacility_CallBackNumber,ORDERING FACILITY PHONE NO (10-digit numeric)         ,,,,,,,,,,
specimenType,SPECIMEN SOURCE,,,,,,,,,,
specimenCollectionDate,SPECIMEN COLLECTION DATE ,,,,,,,,,,
specimenReceivedDate,,,,,,,,,,,
labResultDate,TEST RESULT DATE ,,,,,,,,,,
providerFirstName,ORDERING PROVIDER FIRST NAME,,,,,,,,,,
providerLastName,ORDERING PROVIDER LAST NAME,,,,,,,,,,
providerNPI,,,,,,,,,,,
ProviderName,,,,,,,,,,,
ProviderAddress,ORDERING PROVIDER STREET ADDRESS,,,,,,,,,,
ProviderAddress_Ln2,,,,,,,,,,,
Provider_City,ORDERING PROVIDER CITY,,,,,,,,,,
Provider_State,ORDERING PROVIDER STATE (2-letter abbreviation),,,,,,,,,,
Provider_Zip,ORDERING PROVIDER ZIP CODE,,,,,,,,,,
Provider_CallBackNumber,ORDERING PROVIDER PHONE NO (10-digit numeric),,,,,,,,,,
performingFacility,TESTING LAB NAME,,,,,,,,,,
performingFacilityCLIA,TESTING LAB CLIA,,,,,,,,,,
performingFacilityAddress,TESTING LAB STREET ADDRESS,,,,,,,,,,
performingFacilityAddress_Ln2,,,,,,,,,,,
performingFacility_City,TESTING LAB CITY,,,,,,,,,,
performingFacility_State,TESTING LAB STATE (2-letter abbreviation),,,,,,,,,,
performingFacility_Zip,TESTING LAB ZIP CODE,,,,,,,,,,
performingFacility_CallBackNumber,TESTING LAB PHONE NO (10-digit numeric),,,,,,,,,,
SYMPTOMATIC,,,,,,,,,,,
onsetDate,,,,,,,,,,,
Pregnant,,,,,,,,,,,
Diabetes,,,,,,,,,,,
HeartCondition,,,,,,,,,,,
Immunocompromised,,,,,,,,,,,
KidneyDisease,,,,,,,,,,,
LiverDisease,,,,,,,,,,,
LungDisease,,,,,,,,,,,
Obese,,,,,,,,,,,
DESCRIBE_SYMPTOMS,,,,,,,,,,,
HCW,,,,,,,,,,,
FEVER,,,,,,,,,,,
COUGH,,,,,,,,,,,
SORE_THROAT,,,,,,,,,,,
SORE_THROAT_FLU,,,,,,,,,,,
RHINORRHEA,,,,,,,,,,,
SHORT_OB,,,,,,,,,,,
HEADACHE,,,,,,,,,,,
SWEATS,,,,,,,,,,,
GASTROINTESTINAL,,,,,,,,,,,
WEAKNESS,,,,,,,,,,,
isThisFirstTest,,,,,,,,,,,
isAHealthcareWorker,,,,,,,,,,,
isSymptomatic,,,,,,,,,,,
symptomOnsetDate,,,,,,,,,,,
isHospitalized,,,,,,,,,,,
inICU,,,,,,,,,,,
isResidentOfCongregateCareSetting,,,,,,,,,,,
isPregnant,,,,,,,,,,,
patientAge,,,,,,,,,,,
deviceId,,,,,,,,,,,
ADDITIONAL_NOTES_1,,,,,,,,, ,,
ADDITIONAL_NOTES_2,,,,,,,,,,,
ADDITIONAL_NOTES_3,,,,,,,,,,,
ADDITIONAL_NOTES_4,,,,,,,,,,,
ADDITIONAL_NOTES_5,,,,,,,,,,,
