ELR_DataElement,CSVColumnName,Format,Enforce,ListOfValues,IsRequired,RegEX,Pattern,DefaultValue,Context_Label,User Notes,ScratchPad,,,
sendingFacility,,,,,,,,,,,,,,
sfIdentifier,,,,,,,,,,,,,,
sfIdentifierCodeSystem,,,,,,,,,,,,,,
sendingApplication,,,,,,,,,,,,,,
saIdentifier,,,,,,,,,,,,,,
saIdentifierCodeSystem,,,,,,,,,,,,,,
patientLastName,PATIENT LAST NAME,,,,YES,,,,,,,,,PATIENT SUFFIX
patientMiddleName,PATIENT MIDDLE NAME,,,,,,,,,,,,,SPECIMEN SNOMED CODE
patientFirstName,PATIENT FIRST NAME,,,,YES,,,,,,,,,
patientGender,PATIENT SEX,,,,,,,,,,,,,RESULT SNOMED CODE
patientId,PATIENT ID,,,,,,,,,,,,,
patientDOB,PATIENT BIRTH DATE,,,,,,,,,,,,,
patientRace,PATIENT RACE,,,,,,,,,,,,,
patientEthnicity,PATIENT ETHNICITY,,,,,,,,,,,,,
patientTelephoneNumber,PATIENT PHONE NO,,,,,,,,,Default value is currently sopported only for Patient phone,,,,
patientAddressLine1,PATIENT STREET ADDRESS,,,,,,,,,,,,,
patientAddressLine2,,,,,,,,,,,,,,
patientAddressCity,PATIENT CITY,,,,,,,,,,,,,
patientAddressState,PATIENT STATE,,,,,,,,,,,,,
patientAddressZip,PATIENT ZIP CODE,,,,,,,,,,,,,
PATIENTADDRESSCOUNTY,PATIENT COUNTY,,,,,,,,,,,,,
placerOrder,ACCESSION NUMBER,,,,,,,,,,,,,
fillerOrder,,,,,,,,,,,,,,
resultedTest,TEST NAME,,,,,,,,,,,,,
resultedTest_LOINC,TEST LOINC CODE,,,,,^\d+-\d$,,,,,,,,
observation,RESULT DESCRIPTION OR VALUE,,No,"DETECTED
;NOT DETECTED
;Not Detected
;POSITIVE
;NEGATIVE
;INCONCLUSIVE ;Positive for 2019-nCoV; Indeterminate; INDETERMINATE…;NEG;Presumptive negative;NOT_DETECTED;NOTDETECTED;NOT-DETECTED;POS;PRESUMPTIVE POSITIVE;Analyte not detected;Specimen Unsatisfactory;Invalid;Non-Reactive;REACTIVE;Human Immunodeficiency Virus Type I;260373001;260385009;260415000;10828004",,,,,,,,,,
Notes,PATIENT EMAIL,,,,,,,,,,,,,
orderingFacility,ORDERING FACILITY NAME,,,,,,,,,,,,,
orderingFacility_Address,ORDERING FACILITY STREET ADDRESS,,,,,,,,,,,,,
orderingFacility_Address_Ln2,,,,,,,,,,,,,,
orderingFacility_City,ORDERING FACILITY CITY,,,,,,,,,,,,,
orderingFacility_State,ORDERING FACILITY STATE,,,,,,,,,,,,,
orderingFacility_Zip,ORDERING FACILITY ZIP CODE,,,,,,,,,,,,,
orderingFacility_CallBackNumber,ORDERING FACILITY PHONE NO,,,,,,,,,,,,,
specimenType,SPECIMEN SOURCE,,,,,,,,,,,,,
specimenCollectionDate,SPECIMEN COLLECTION DATE,,,,,,,,,,,,,
specimenReceivedDate,SPECIMEN RECEIVED DATE,,,,,,,,,,,,,
labResultDate,TEST RESULT DATE,,,,,,,,,,,,,
providerFirstName,ORDERING PROVIDER FIRST NAME,,,,,,,,,,,,,
providerLastName,ORDERING PROVIDER LAST NAME,,,,,,,,,,,,,
providerNPI,,,,,,,,,,,,,,
ProviderName,,,,,,,,,,,,,,
ProviderAddress,ORDERING PROVIDER STREET ADDRESS,,,,,,,,,,,,,
ProviderAddress_Ln2,,,,,,,,,,,,,,
Provider_City,ORDERING PROVIDER CITY,,,,,,,,,,,,,
Provider_State,ORDERING PROVIDER STATE,,,,,,,,,,,,,
