ELR_DataElement,CSVColumnName,Format,Enforce,ListOfValues,IsRequired,RegEX,Pattern,DefaultValue,Context_Label,User Notes,ScratchPad,,,,
sendingFacility,,,,,,,,,,,,,,,
sfIdentifier,,,,,,,,,,,,,,,
sfIdentifierCodeSystem,,,,,,,,,,,,,,,
sendingApplication,,,,,,,,,,,,,,,
saIdentifier,,,,,,,,,,,,,,,
saIdentifierCodeSystem,,,,,,,,,,,,,,,PATIENT_SUFFIX
patientLastName,PATIENT_LAST_NAME,,,,YES,,,,,,,,,,SPECIMEN_SNOMED_CODE
patientMiddleName,PATIENT_MIDDLE_NAME,,,,,,,,,,,,,,RESULT_SNOMED_CODE
patientFirstName,PATIENT_FIRST_NAME,,,,YES,,,,,,,,,,PATIENT_AGE_UNITS_AT_TIME_OF_COLLECTION
patientGender,PATIENT_GENDER,,,,,,,,,,,,,,
patientId,PATIENT_ID,,,,,,,,,,,,,,
patientDOB,PATIENT_BIRTH_DATE,,,,,,,,,,,,,,
patientRace,PATIENT_RACE,,,,,,,,,,,,,,
patientEthnicity,PATIENT_ENTHNICITY,,,,,,,,,,,,,,
patientTelephoneNumber,PATIENT_PHONE_NO,,,,,,,,,Default value is currently sopported only for Patient phone,,,,,
patientAddressLine1,PATIENT_STREET_ADDRESS,,,,,,,,,,,,,,
patientAddressLine2,,,,,,,,,,,,,,,
patientAddressCity,PATIENT_CITY,,,,,,,,,,,,,,
patientAddressState,PATIENT_STATE,,,,,,,,,,,,,,
patientAddressZip,PATIENT_ZIP_CODE,,,,,,,,,,,,,,
PATIENTADDRESSCOUNTY,PATIENT_COUNTY,,,,,,,,,,,,,,
placerOrder,ACCESSION_NUMBER,,,,,,,,,,,,,,
fillerOrder,,,,,,,,,,,,,,,
resultedTest,TEST_NAME,,,,,,,,,,,,,,
resultedTest_LOINC,TEST_LOINC_CODE,,,,,^\d+-\d$,,,,,,,,,
observation,RESULT_DESCRIPTION_OR_VALUE,,Yes,"DETECTED
;NOT DETECTED
;Not Detected
;POSITIVE
;NEGATIVE
;INCONCLUSIVE ;Positive for 2019-nCoV; Indeterminate; INDETERMINATE…;NEG;Presumptive negative;NOT_DETECTED;NOTDETECTED;NOT-DETECTED;POS;PRESUMPTIVE POSITIVE;Analyte not detected;Specimen Unsatisfactory;Invalid;Non-Reactive;REACTIVE;Human Immunodeficiency Virus Type I;260373001;260385009;260415000;10828004",,,,,,,,,,,
Notes,DEVICE_IDENTIFIER_INFO,,,,,,,,,,,,,,
orderingFacility,ORDERING_FACILITY_NAME,,,,,,,,,,,,,,
orderingFacility_Address,ORDERING_FACILITY_STREET_ADDRESS,,,,,,,,,,,,,,
orderingFacility_Address_Ln2,,,,,,,,,,,,,,,
orderingFacility_City,ORDERING_FACILITY_CITY,,,,,,,,,,,,,,
orderingFacility_State,ORDERING_FACILITY_STATE,,,,,,,,,,,,,,
orderingFacility_Zip,ORDERING_FACILITY_ZIP_CODE,,,,,,,,,,,,,,
orderingFacility_CallBackNumber,ORDERING_FACILITY_PHONE_NO,,,,,,,,,,,,,,
specimenType,SPECIMEN_SOURCE,,,,,,,,,,,,,,
specimenCollectionDate,SPECIMEN_COLLECTION_DATE,,,,,,,,,,,,,,
specimenReceivedDate,SPECIMEN_RECEIVED_DATE,,,,,,,,,,,,,,
labResultDate,TEST_RESULT_DATE,,,,,,,,,,,,,,
providerFirstName,ORDERING_PROVIDER_FIRST_NAME,,,,,,,,,,,,,,
providerLastName,ORDERING_PROVIDER_LAST_NAME,,,,,,,,,,,,,,
providerNPI,,,,,,,,,,,,,,,
ProviderName,,,,,,,,,,,,,,,
