ELR_DataElement,CSVColumnName,Format,Enforce,ListOfValues,IsRequired,RegEX,Pattern,DefaultValue,Context_Label,User Notes,ScratchPad
sendingFacility,,,,,,,,,,,
sfIdentifier,,,,,,,,,,,
sfIdentifierCodeSystem,,,,,,,,,,,
sendingApplication,,,,,,,,,,,
saIdentifier,,,,,,,,,,,
saIdentifierCodeSystem,,,,,,,,,,,
patientLastName,LAST NAME,,,,YES,,,,,,
patientMiddleName,,,,,,,,,,,
patientFirstName,FIRST NAME,,,,YES,,,,,,
patientGender,SEX,,,,,,,,,,
patientId,ORDER ID,,,,,,,,,,
patientDOB,DATE OF BIRTH,,,,,,,,,,
patientRace,RACE,,,,,,,,,,
patientEthnicity,ETHNICITY,,,,,,,,,,
patientTelephoneNumber,TELEPHONE,,,,,,,,,Default value is currently sopported only for Patient phone,
patientAddressLine1,STREET ADDRESS,,,,,,,,,,
patientAddressLine2,STREET ADDRESS(2),,,,,,,,,,
patientAddressCity,CITY,,,,,,,,,,
patientAddressState,STATE,,,,,,,,,,
patientAddressZip,ZIP,,,,,,,,,,
PATIENTADDRESSCOUNTY,COUNTY,,,,,,,,,,
placerOrder,KIT ID,,,,,,,,,,
fillerOrder,,,,,,,,,,,
resultedTest,TYPE OF TEST,,,,,,,,,,
resultedTest_LOINC,LOINC,,,,,^\d+-\d$,,,,,
observation,TEST RESULT,,No,"DETECTED
;NOT DETECTED
;Not Detected
;POSITIVE
;NEGATIVE
;INCONCLUSIVE ;Positive for 2019-nCoV; Indeterminate; INDETERMINATE…;NEG;Presumptive negative;NOT_DETECTED;NOTDETECTED;NOT-DETECTED;POS;PRESUMPTIVE POSITIVE;Analyte not detected;Specimen Unsatisfactory;Invalid;Non-Reactive;REACTIVE;Human Immunodeficiency Virus Type I;260373001;260385009;260415000;10828004",,,,,,,
Notes,E-MAIL,,,,,,,,,,
orderingFacility,PROVIDER OFFICE,,,,,,,,,,
orderingFacility_Address,,,,,,,,,,,
orderingFacility_Address_Ln2,,,,,,,,,,,
orderingFacility_City,,,,,,,,,,,
orderingFacility_State,,,,,,,,,,,
orderingFacility_Zip,,,,,,,,,,,
orderingFacility_CallBackNumber,,,,,,,,,,,
specimenType,SPECIMEN TYPE,,,,,,,,,,
specimenCollectionDate,DATE OF SPECIMEN COLLECTION,,,,,,,,,,
specimenReceivedDate,,,,,,,,,,,
labResultDate,DATE OF DATA,,,,,,,,,,
providerFirstName,ORDERER FIRST NAME,,,,,,,,,,
providerLastName,ORDERER LAST NAME,,,,,,,,,,
providerNPI,,,,,,,,,,,
ProviderName,,,,,,,,,,,
ProviderAddress,ORDERER ADDRESS,,,,,,,,,,
ProviderAddress_Ln2,,,,,,,,,,,
Provider_City,,,,,,,,,,,
Provider_State,,,,,,,,,,,
Provider_Zip,,,,,,,,,,,
Provider_CallBackNumber,ORDERER PHONE,,,,,,,,,,
performingFacility,LABORATORY NAME,,,,,,,,,,
performingFacilityCLIA,,,,,,,,,,,
performingFacilityAddress,LAB ADDRESS,,,,,,,,,,
performingFacilityAddress_Ln2,,,,,,,,,,,
performingFacility_City,,,,,,,,,,,
performingFacility_State,,,,,,,,,,,
performingFacility_Zip,,,,,,,,,,,
performingFacility_CallBackNumber,LAB TELEPHONE,,,,,,,,,,
SYMPTOMATIC,,,,,,,,,,,
onsetDate,,,,,,,,,,,
Pregnant,,,,,,,,,,,
Diabetes,,,,,,,,,,,
HeartCondition,,,,,,,,,,,
Immunocompromised,,,,,,,,,,,
KidneyDisease,,,,,,,,,,,
LiverDisease,,,,,,,,,,,
LungDisease,,,,,,,,,,,
Obese,,,,,,,,,,,
DESCRIBE_SYMPTOMS,SYMPTOMS EXPERIENCED,,,,,,,,,,
HCW,,,,,,,,,,,
FEVER,,,,,,,,,,,
COUGH,,,,,,,,,,,
SORE_THROAT,,,,,,,,,,,
SORE_THROAT_FLU,,,,,,,,,,,
RHINORRHEA,,,,,,,,,,,
SHORT_OB,,,,,,,,,,,
HEADACHE,,,,,,,,,,,
SWEATS,,,,,,,,,,,
GASTROINTESTINAL,,,,,,,,,,,
WEAKNESS,,,,,,,,,,,
isThisFirstTest,,,,,,,,,,,
isAHealthcareWorker,,,,,,,,,,,
isSymptomatic,,,,,,,,,,,
symptomOnsetDate,DATE OF ONSET,,,,,,,,,,
isHospitalized,,,,,,,,,,,
inICU,,,,,,,,,,,
isResidentOfCongregateCareSetting,,,,,,,,,,,
isPregnant,,,,,,,,,,,
patientAge,AGE,,,,,,,,,,
deviceId,,,,,,,,,,,
ADDITIONAL_NOTES_1,,,,,,,,, ,,
ADDITIONAL_NOTES_2,,,,,,,,,,,
ADDITIONAL_NOTES_3,,,,,,,,,,,
ADDITIONAL_NOTES_4,,,,,,,,,,,
ADDITIONAL_NOTES_5,,,,,,,,,,,
