ELR_DataElement,CSVColumnName,Irrelevant,Format,ListOfValues,IsRequired,RegEX,Pattern,ScratchPad,,,
sendingFacility,,,,,,,,,,,
sfIdentifier,,,,,,,,,,,
sfIdentifierCodeSystem,,,,,,,,,,,
sendingApplication,,,,,,,,,,,
saIdentifier,,,,,,,,,,,
saIdentifierCodeSystem,,,,,,,,,,,
patientLastName,LAST NAME,,,,YES,,,,,,
patientMiddleName,,,,,,,,,,,
patientFirstName,FIRST NAME,,,,YES,,,,,,
patientGender,SEX,,,,,,,,,,
patientId,ORDER ID,,,,,,,,,,
patientDOB,DATE OF BIRTH,,,,,,,,,,
patientRace,RACE,,,,,,,,,,
patientEthnicity,ETHNICITY,,,,,,,,,,
patientTelephoneNumber,TELEPHONE,,,,,,,,,,
patientAddressLine1,STREET ADDRESS,,,,,,,,,,
patientAddressLine2,STREET ADDRESS(2),,,,,,,,,,
patientAddressCounty,COUNTY,,,,,,,,,,
patientAddressCity,CITY,,,,,,,,,,MEDICARE/MEDICAID
patientAddressState,STATE,,,,,,,,,,
patientAddressZip,ZIP,,,,,,,,,,
placerOrder,KIT ID,,,,,,,,,,POTENTIAL EXPOSURE
fillerOrder,,,,,,,,,,,CONFIRMED EXPOSURE
resultedTest,TYPE OF TEST,,,,,,,,,,
resultedTest_LOINC,LOINC,,,,,^\d+-\d$,,,,,
observation,TEST RESULT,,,"DETECTED
;NOT DETECTED
;NotDetected
;POSITIVE
;NEGATIVE
;INCONCLUSIVE",,,,,,,
Notes,E-MAIL,,,,,,,,,,
orderingFacility,PROVIDER OFFICE,,,,,,,,,,
orderingFacility_Address,,,,,,,,,,,PRACTICIONER TYPE
orderingFacility_Address_Ln2,,,,,,,,,,,
orderingFacility_City,,,,,,,,,,,
orderingFacility_State,,,,,,,,,,,ORDERER E-MAIL
orderingFacility_Zip,,,,,,,,,,,
orderingFacility_CallBackNumber,,,,,,,,,,,
specimenType,SPECIMEN TYPE,,,,,,,,,,
specimenCollectionDate,DATE OF SPECIMEN COLLECTION,,,,,,,,,,EUA Number
specimenReceivedDate,,,,,,,,,,,
labResultDate,DATE OF DATA,,,,,,,,,,
providerFirstName,ORDERER FIRST NAME,,,,,,,,,,
providerLastName,ORDERER LAST NAME,,,,,,,,,,Specimen_Source_Code
providerNPI,,,,,,,,,,,REPORTER
ProviderName,,,,,,,,,,,REPORTER ADDRESS
ProviderAddress,ORDERER ADDRESS,,,,,,,,,,REPORTER PHONE
ProviderAddress_Ln2,,,,,,,,,,,REPORTER E-MAIL
Provider_City,,,,,,,,,,,
Provider_State,,,,,,,,,,,
Provider_Zip,,,,,,,,,,,
Provider_CallBackNumber,ORDERER PHONE,,,,,,,,,,
performingFacility,LABORATORY NAME,,,,,,,,,,
performingFacilityCLIA,,,,,,,,,,,
performingFacilityAddress,LAB ADDRESS,,,,,,,,,,
performingFacilityAddress_Ln2,,,,,,,,,,,
performingFacility_City,,,,,,,,,,,
performingFacility_State,,,,,,,,,,,
performingFacility_Zip,,,,,,,,,,,
performingFacility_CallBackNumber,LAB TELEPHONE,,,,,,,,,,
SYMPTOMATIC,,,,,,,,,,,
onsetDate,,,,,,,,,,,
Pregnant,,,,,,,,,,,
Diabetes,,,,,,,,,,,
HeartCondition,,,,,,,,,,,
Immunocompromised,,,,,,,,,,,
KidneyDisease,,,,,,,,,,,
LiverDisease,,,,,,,,,,,
LungDisease,,,,,,,,,,,
Obese,,,,,,,,,,,
DESCRIBE_SYMPTOMS,SYMPTOMS EXPERIENCED,,,,,,,,,,
HCW,,,,,,,,,,,
FEVER,,,,,,,,,,,
COUGH,,,,,,,,,,,
SORE_THROAT,,,,,,,,,,,
SORE_THROAT_FLU,,,,,,,,,,,
RHINORRHEA,,,,,,,,,,,
SHORT_OB,,,,,,,,,,,
HEADACHE,,,,,,,,,,,
SWEATS,,,,,,,,,,,
GASTROINTESTINAL,,,,,,,,,,,
WEAKNESS,,,,,,,,,,,
isThisFirstTest,,,,,,,,,,,
isAHealthcareWorker,,,,,,,,,,,
isSymptomatic,,,,,,,,,,,
symptomOnsetDate,DATE OF ONSET,,,,,,,,,,
isHospitalized,,,,,,,,,,,
inICU,,,,,,,,,,,
isResidentOfCongregateCareSetting,,,,,,,,,,,
isPregnant,,,,,,,,,,,
patientAge,AGE,,,,,,,,,,
