ELR_DataElement,CSVColumnName,Irrelevant,Format,ListOfValues,IsRequired,RegEX,Pattern,ScratchPad,,,
sendingFacility,,,,,,,,,,,
sfIdentifier,,,,,,,,,,,
sfIdentifierCodeSystem,,,,,,,,,,,
sendingApplication,,,,,,,,,,,Pat Name Suffix
saIdentifier,,,,,,,,,,,
saIdentifierCodeSystem,,,,,,,,,,,
patientLastName,Pat Last Name,,,,YES,,,,,,
patientMiddleName,Pat Middle Name,,,,,,,,,,
patientFirstName,Pat First Name,,,,YES,,,,,,
patientGender,Pat Gender,,,,,,,,,,
patientId,Pat Id,,,,,,,,,,
patientDOB,Pat Birth Date,,,,,,,,,,
patientRace,Pat Race,,,,,,,,,,
patientEthnicity,Pat Ethnicity,,,,,,,,,,
patientTelephoneNumber,Patient Home Phone,,,,,,,,,,
patientAddressLine1,Pat Street Address,,,,,,,,,,
patientAddressLine2,,,,,,,,,,,
patientAddressCounty,County,,,,,,,,,,
patientAddressCity,Pat Address City,,,,,,,,,,
patientAddressState,Pat  Address State,,,,,,,,,,Specimen Code
patientAddressZip,Pat Address Zip,,,,,,,,,,
placerOrder,Accession Number,,,,,,,,,,
fillerOrder,,,,,,,,,,,
resultedTest,Test Name,,,,,,,,,,
resultedTest_LOINC,Test LOINC Code,,,,,^\d+-\d$,,,,,Result Snowmed Code
observation,Result,,,"DETECTED
;NOT DETECTED
;NotDetected
;POSITIVE
;NEGATIVE
;INCONCLUSIVE",,,,,,,
Notes,Patient Email,,,,,,,,,,
orderingFacility,Ordering Facility Name,,,,,,,,,,
orderingFacility_Address,Ordering Facility Street Address,,,,,,,,,,
orderingFacility_Address_Ln2,,,,,,,,,,,
orderingFacility_City,Ordering Facility City,,,,,,,,,,
orderingFacility_State,Ordering Facility State,,,,,,,,,,
orderingFacility_Zip,Ordering Facility  Zip,,,,,,,,,,
orderingFacility_CallBackNumber,Ordering Facility Phone No,,,,,,,,,,
specimenType,Specimen Source,,,,,,,,,,
specimenCollectionDate,Specimen Collection Date,,,,,,,,,,
specimenReceivedDate,,,,,,,,,,,
labResultDate,Test Result Date,,,,,,,,,,
providerFirstName,,,,,,,,,,,
providerLastName,,,,,,,,,,,
providerNPI,,,,,,,,,,,
ProviderName,Ordering Provider,,,,,,,,,,
ProviderAddress,Ordering Provider Street Address,,,,,,,,,,
ProviderAddress_Ln2,,,,,,,,,,,
Provider_City,Ordering Provider City,,,,,,,,,,
Provider_State,Ordering Provider State,,,,,,,,,,
Provider_Zip,Ordering Provider Zip Code,,,,,,,,,,
Provider_CallBackNumber,Ordering Provider Phone No,,,,,,,,,,
performingFacility,Testing Lab Name,,,,,,,,,,
performingFacilityCLIA,,,,,,,,,,,Device Identifier
performingFacilityAddress,Testing Lab Street Address,,,,,,,,,,
performingFacilityAddress_Ln2,,,,,,,,,,,
performingFacility_City,Testing Lab City,,,,,,,,,,
performingFacility_State,Testing Lab State,,,,,,,,,,
performingFacility_Zip,Testing Lab Zip Code,,,,,,,,,,
performingFacility_CallBackNumber,Testing Lab Phone No.,,,,,,,,,,
SYMPTOMATIC,,,,,,,,,,,
onsetDate,,,,,,,,,,,
Pregnant,,,,,,,,,,,
Diabetes,,,,,,,,,,,
HeartCondition,,,,,,,,,,,
Immunocompromised,,,,,,,,,,,
KidneyDisease,,,,,,,,,,,
LiverDisease,,,,,,,,,,,
LungDisease,,,,,,,,,,,
Obese,,,,,,,,,,,
DESCRIBE_SYMPTOMS,,,,,,,,,,,
HCW,,,,,,,,,,,
FEVER,,,,,,,,,,,
COUGH,,,,,,,,,,,
SORE_THROAT,,,,,,,,,,,
SORE_THROAT_FLU,,,,,,,,,,,
RHINORRHEA,,,,,,,,,,,
SHORT_OB,,,,,,,,,,,
HEADACHE,,,,,,,,,,,
SWEATS,,,,,,,,,,,
GASTROINTESTINAL,,,,,,,,,,,
WEAKNESS,,,,,,,,,,,
isThisFirstTest,Patient First COVID Test,,,,,,,,,,
isAHealthcareWorker,PT employed In Healthcare,,,,,,,,,,
isSymptomatic,PT Symptomatic,,,,,,,,,,
symptomOnsetDate,Clinical Onset Date,,,,,,,,,,
isHospitalized,PT Hospitalized,,,,,,,,,,
inICU,Patient In ICU,,,,,,,,,,
isResidentOfCongregateCareSetting,Patient In Congregate Care,,,,,,,,,,
isPregnant,Patient Pregnant,,,,,,,,,,
patientAge,Patient Age time Collection,,,,,,,,,,
