ELR_DataElement,CSVColumnName,Format,Enforce,ListOfValues,IsRequired,RegEX,Pattern,DefaultValue,Context_Label,User Notes,ScratchPad
sendingFacility,OrderingFacility,,,,,,,,,,
sfIdentifier,,,,,,,,,,,
sfIdentifierCodeSystem,,,,,,,,,,,
sendingApplication,,,,,,,,,,,
saIdentifier,,,,,,,,,,,
saIdentifierCodeSystem,,,,,,,,,,,
patientLastName,LastName,,,,YES,,,,,,
patientMiddleName,,,,,,,,,,,
patientFirstName,FirstName,,,,YES,,,,,,
patientGender,Gender,,,,,,,,,,
patientId,UserID,,,,,,,,,,
patientDOB,DateOfBirth,,,,,,,,,,
patientRace,Race,,,,,,,,,,
patientEthnicity,Ethnicity,,,,,,,,,,
patientTelephoneNumber,TelNo,,,,,,,,,Default value is currently sopported only for Patient phone,
patientAddressLine1,Address1,,,,,,,,,,
patientAddressLine2,Address2,,,,,,,,,,
patientAddressCity,City,,,,,,,,,,
patientAddressState,State,,,,,,,,,,
patientAddressZip,ZIPCode,,,,,,,,,,
PATIENTADDRESSCOUNTY,County,,,,,,,,,,
placerOrder,AccessionNo,,,,,,,,,,
fillerOrder,,,,,,,,,,,
resultedTest,TestName,,,,,,,,,,
resultedTest_LOINC,LOINC,,,,,^\d+-\d$,,,,,
observation,Result,,No,"DETECTED
;NOT DETECTED
;Not Detected
;POSITIVE
;NEGATIVE
;INCONCLUSIVE ;Positive for 2019-nCoV; Indeterminate; INDETERMINATE…;NEG;Presumptive negative;NOT_DETECTED;NOTDETECTED;NOT-DETECTED;POS;PRESUMPTIVE POSITIVE;Analyte not detected;Specimen Unsatisfactory;Invalid;Non-Reactive;REACTIVE;Human Immunodeficiency Virus Type I;260373001;260385009;260415000;10828004",,,,,,,
Notes,Email,,,,,,,,,,
orderingFacility,TestingSiteName,,,,,,,,,,
orderingFacility_Address,TestingSiteAddress1,,,,,,,,,,
orderingFacility_Address_Ln2,,,,,,,,,,,
orderingFacility_City,TestingSiteCity,,,,,,,,,,
orderingFacility_State,TestingSiteState,,,,,,,,,,
orderingFacility_Zip,TestingSiteZip,,,,,,,,,,
orderingFacility_CallBackNumber,TestingSiteTelNo,,,,,,,,,,
specimenType,SpecimenType,,,,,,,,,,
specimenCollectionDate,CollectedDate,,,,,,,,,,
specimenReceivedDate,ReceivedDate,,,,,,,,,,
labResultDate,ReportDate,,,,,,,,,,
providerFirstName,,,,,,,,,,,
providerLastName,,,,,,,,,,,
providerNPI,NPI,,,,,,,,,,
ProviderName,ProviderName,,,,,,,,,,
ProviderAddress,OPAddress1,,,,,,,,,,
ProviderAddress_Ln2,OPAddress2,,,,,,,,,,
Provider_City,OPCity,,,,,,,,,,
Provider_State,OPState,,,,,,,,,,
Provider_Zip,OPZipCode,,,,,,,,,,
Provider_CallBackNumber,OPTelNo,,,,,,,,,,
performingFacility,LabName,,,,,,,,,,
performingFacilityCLIA,CLIANo,,,,,,,,,,
performingFacilityAddress,LabAddress1,,,,,,,,,,
performingFacilityAddress_Ln2,LabAddress2,,,,,,,,,,
performingFacility_City,LabCity,,,,,,,,,,
performingFacility_State,LabState,,,,,,,,,,
performingFacility_Zip,LabZipCode,,,,,,,,,,
performingFacility_CallBackNumber,LabTelNo,,,,,,,,,,
SYMPTOMATIC,,,,,,,,,,,
onsetDate,,,,,,,,,,,
Pregnant,,,,,,,,,,,
Diabetes,Diabetes,,,,,,,,,,
HeartCondition,HeartCondition,,,,,,,,,,
Immunocompromised,Immunocompromised,,,,,,,,,,
KidneyDisease,KidneyDisease,,,,,,,,,,
LiverDisease,LiverDisease,,,,,,,,,,
LungDisease,LungDisease,,,,,,,,,,
Obese,Obese,,,,,,,,,,
DESCRIBE_SYMPTOMS,,,,,,,,,,,
HCW,,,,,,,,,,,
FEVER,,,,,,,,,,,
COUGH,,,,,,,,,,,
SORE_THROAT,,,,,,,,,,,
SORE_THROAT_FLU,,,,,,,,,,,
RHINORRHEA,,,,,,,,,,,
SHORT_OB,,,,,,,,,,,
HEADACHE,,,,,,,,,,,
SWEATS,,,,,,,,,,,
GASTROINTESTINAL,,,,,,,,,,,
WEAKNESS,,,,,,,,,,,
isThisFirstTest,,,,,,,,,,,
isAHealthcareWorker,HealthWorker,,,,,,,,,,
isSymptomatic,CovidSymptoms,,,,,,,,,,
symptomOnsetDate,SymptomsOnset,,,,,,,,,,
isHospitalized,,,,,,,,,,,
inICU,,,,,,,,,,,
isResidentOfCongregateCareSetting,,,,,,,,,,,
isPregnant,Pregnant,,,,,,,,,,
patientAge,,,,,,,,,,,
deviceId,,,,,,,,,,,
ADDITIONAL_NOTES_1,Notes,,,,,,,, ,,
ADDITIONAL_NOTES_2,,,,,,,,,,,
ADDITIONAL_NOTES_3,,,,,,,,,,,
ADDITIONAL_NOTES_4,,,,,,,,,,,
ADDITIONAL_NOTES_5,,,,,,,,,,,
