LOINC_NUM,Component,Property,Time_Aspct,System,Scale_Typ,Method_Typ,Class,ClassType,Long Common Name,Shortname,External_Copyright_Notice,Status,VersionFirstReleased
100861-4,Cells.CD4+CD154+/Cells.CD4^after stimulation with SARS-CoV-2 Nucleocapsid peptide,NFr,Pt,Bld,Qn,,MICRO,1,Cells.CD4+CD154+/CD4 cells in Blood --after stimulation with SARS-CoV-2 Nucleocapsid peptide,CD4+154/CD4 p COVID NuclCap,,TRIAL,2.73
100858-0,Cells.CD4+CD154+/Cells.CD4^after stimulation with SARS-CoV-2 Spike peptide,NFr,Pt,Bld,Qn,,MICRO,1,Cells.CD4+CD154+/CD4 cells in Blood --after stimulation with SARS-CoV-2 Spike peptide,CD4+154/CD4 stim COVID Spike,,TRIAL,2.73
100862-2,Cells.CD4.Interferon gamma-expressing/Cells.CD4^after stimulation with SARS-CoV-2 Nucleocapsid peptide,NFr,Pt,Bld,Qn,,MICRO,1,Cells.CD4.Interferon gamma-expressing/CD4 cells in Blood --after stimulation with SARS-CoV-2 Nucleocapsid peptide,CD4 IFNg/CD4 p COVID NuclCap,,TRIAL,2.73
100859-8,Cells.CD4.Interferon gamma-expressing/Cells.CD4^after stimulation with SARS-CoV-2 Spike peptide,NFr,Pt,Bld,Qn,,MICRO,1,Cells.CD4.Interferon gamma-expressing/CD4 cells in Blood --after stimulation with SARS-CoV-2 Spike peptide,CD4 IFNg/CD4 p Stim COVID Sp,,TRIAL,2.73
100863-0,Cells.CD4.Tumor necrosis factor alfa-expressing/Cells.CD4^after stimulation with SARS-CoV-2 Nucleocapsid peptide,NFr,Pt,Bld,Qn,,MICRO,1,Cells.CD4.Tumor necrosis factor alfa-expressing/CD4 cells in Blood --after stimulation with SARS-CoV-2 Nucleocapsid peptide,CD4 TNFa/CD4 p COVID NuclCap,,TRIAL,2.73
100860-6,Cells.CD4.Tumor necrosis factor alfa-expressing/Cells.CD4^after stimulation with SARS-CoV-2 Spike peptide,NFr,Pt,Bld,Qn,,MICRO,1,Cells.CD4.Tumor necrosis factor alfa-expressing/CD4 cells in Blood --after stimulation with SARS-CoV-2 Spike peptide,CD4 TNFa/CD4 p Stim COVID Sp,,TRIAL,2.73
96766-1,GISAID sequence accession number,ID,Pt,Isolate,Nom,,MICRO,1,GISAID sequence accession number,GISAID seq accession ID,,ACTIVE,2.7
95942-9,Influenza virus A & Influenza virus B & SARS coronavirus+SARS coronavirus 2 Ag panel,-,Pt,Respiratory.upper,-,IA.rapid,PANEL.MICRO,1,Influenza virus A and B and SARS-CoV+SARS-CoV-2 (COVID-19) Ag panel - Upper respiratory specimen by Rapid immunoassay,FLUABV+SARS-CoV Ag Pnl Up resp IA.rapid,,ACTIVE,2.69
97099-6,Influenza virus A & Influenza virus B & SARS coronavirus 2 Ag panel,-,Pt,Respiratory.upper,-,IA.rapid,PANEL.MICRO,1,Influenza virus A and B and SARS-CoV-2 (COVID-19) Ag panel - Upper respiratory specimen by Rapid immunoassay,FLUABV+SARS-CoV2 Ag Pnl Up resp IA.rapid,,ACTIVE,2.7
95941-1,Influenza virus A & Influenza virus B & SARS coronavirus 2 & Respiratory syncytial virus RNA panel,-,Pt,Respiratory System Specimen,-,Probe.amp.tar,PANEL.MICRO,1,Influenza virus A and B and SARS-CoV-2 (COVID-19) and Respiratory syncytial virus RNA panel - Respiratory system specimen by NAA with probe detection,FLUABV+SARS-CoV-2+RSV Pnl Resp NAA+probe,,ACTIVE,2.69
